From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (GO)
Q0K3D9	Q0K3D9	unreviewed	Q0K3D9_CUPNH	Predicted acyl-CoA transferase/carnitine dehydratase, EC 5.1.99.-	H16_B0688	GO:0016740; GO:0016853			isomerase activity [GO:0016853]; transferase activity [GO:0016740]	isomerase activity [GO:0016853]; transferase activity [GO:0016740]
F2QZG8	F2QZG8	unreviewed	F2QZG8_KOMPC	NADH-ubiquinone oxidoreductase	NUPM PP7435_Chr4-0638	GO:0005743; GO:0006120; GO:0070469	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]		mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]
F2QPL3	F2QPL3	unreviewed	F2QPL3_KOMPC	40S ribosomal protein S9-B	RPS9B PP7435_Chr1-1213	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A1G4KQT2	A0A1G4KQT2	unreviewed	A0A1G4KQT2_KOMPC	GTP-binding protein	TEM1 PP7435_Chr4-1334	GO:0003924; GO:0005525			GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
A0A1G4KQX6	A0A1G4KQX6	unreviewed	A0A1G4KQX6_KOMPC	RNA helicase	MSS116 PP7435_Chr4-0754	GO:0003676; GO:0004386; GO:0005524; GO:0016787			ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]
F2QM93	F2QM93	unreviewed	F2QM93_KOMPC	Mitochondrial oxaloacetate transport protein	OAC1 PP7435_Chr1-2016	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
Q0KBY2	Q0KBY2	unreviewed	Q0KBY2_CUPNH	Cupin_5 domain-containing protein	H16_A1351					
F2QZ84	F2QZ84	unreviewed	F2QZ84_KOMPC	Eukaryotic translation initiation factor 3 subunit G, eIF3g (Eukaryotic translation initiation factor 3 RNA-binding subunit, eIF-3 RNA-binding subunit) (Translation initiation factor eIF3 p33 subunit homolog, eIF3 p33 homolog)	TIF35 PP7435_Chr4-0549	GO:0001732; GO:0003723; GO:0003743; GO:0005852; GO:0016282; GO:0033290	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]	formation of cytoplasmic translation initiation complex [GO:0001732]	RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]
Q0KD58	Q0KD58	unreviewed	Q0KD58_CUPNH	Predicted ATPase, EC 3.6.1.-	H16_A0917	GO:0016787			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]
F2QMQ9	F2QMQ9	unreviewed	F2QMQ9_KOMPC	Uncharacterized protein	PP7435_Chr1-0721					
Q0KEG6	Q0KEG6	unreviewed	Q0KEG6_CUPNH	dATP pyrophosphohydrolase, EC 3.6.1.-	H16_A0455	GO:0008828; GO:0019177; GO:0046656		folic acid biosynthetic process [GO:0046656]	dATP pyrophosphohydrolase activity [GO:0008828]; dihydroneopterin triphosphate pyrophosphohydrolase activity [GO:0019177]	dATP pyrophosphohydrolase activity [GO:0008828]; dihydroneopterin triphosphate pyrophosphohydrolase activity [GO:0019177]; folic acid biosynthetic process [GO:0046656]
Q0K7T0	Q0K7T0	unreviewed	Q0K7T0_CUPNH	DUF5594 domain-containing protein	H16_A2864					
F2QXG4	F2QXG4	unreviewed	F2QXG4_KOMPC	Bud site selection protein, Revert to axial protein 1	RAX1 PP7435_Chr3-1149	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
Q0K213	Q0K213	unreviewed	Q0K213_CUPNH	Aminotransferase class-V, EC 2.6.1.3	H16_B1170	GO:0047801			L-cysteine transaminase activity [GO:0047801]	L-cysteine transaminase activity [GO:0047801]
Q0K5N9	Q0K5N9	unreviewed	Q0K5N9_CUPNH	Predicted alpha/beta hydrolase BEM46	H16_A3625	GO:0016787			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]
F2QLN6	F2QLN6	unreviewed	F2QLN6_KOMPC	Phospho-2-dehydro-3-deoxyheptonate aldolase, EC 2.5.1.54	ARO4 PP7435_Chr1-0995	GO:0003849; GO:0008652; GO:0009073		aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]	3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]	3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]
Q0KFD6	Q0KFD6	unreviewed	Q0KFD6_CUPNH	ABC-type transporter, ATPase component, EC 3.6.3.-	H16_A0133	GO:0005524; GO:0005886; GO:0016787	plasma membrane [GO:0005886]		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]
F2QQ61	F2QQ61	unreviewed	F2QQ61_KOMPC	Mitochondrial phosphate carrier	MIR1 PP7435_Chr1-3160	GO:0005315; GO:0005743; GO:0016021; GO:1990547	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	mitochondrial phosphate ion transmembrane transport [GO:1990547]	inorganic phosphate transmembrane transporter activity [GO:0005315]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; inorganic phosphate transmembrane transporter activity [GO:0005315]; mitochondrial phosphate ion transmembrane transport [GO:1990547]
Q0K3B5	Q0K3B5	unreviewed	Q0K3B5_CUPNH	Small-conductance mechano-sensitive channel	mscS2 H16_B0712	GO:0005886; GO:0008381; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		mechanosensitive ion channel activity [GO:0008381]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; mechanosensitive ion channel activity [GO:0008381]
F2QY91	F2QY91	unreviewed	F2QY91_KOMPC	ER membrane protein complex subunit 2	EMC2 PP7435_Chr4-0194	GO:0072546	EMC complex [GO:0072546]			EMC complex [GO:0072546]
F2QYL0	F2QYL0	unreviewed	F2QYL0_KOMPC	Glycosylphosphatidylinositol anchor biosynthesis protein 11	GPI11 PP7435_Chr4-0317	GO:0005789; GO:0006506; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GPI anchor biosynthetic process [GO:0006506]		endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; GPI anchor biosynthetic process [GO:0006506]
Q0KFI2	Q0KFI2	unreviewed	Q0KFI2_CUPNH	Putative Mg2+ and Co2+ transporter	corA1 H16_A0087	GO:0016021; GO:0046873	integral component of membrane [GO:0016021]		metal ion transmembrane transporter activity [GO:0046873]	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]
F2QP90	F2QP90	unreviewed	F2QP90_KOMPC	Porphobilinogen deaminase, EC 2.5.1.61 (Hydroxymethylbilane synthase) (Pre-uroporphyrinogen synthase)	HEM3 PP7435_Chr1-1088	GO:0004418; GO:0006782; GO:0018160		peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]	hydroxymethylbilane synthase activity [GO:0004418]	hydroxymethylbilane synthase activity [GO:0004418]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]
F2QYN1	F2QYN1	unreviewed	F2QYN1_KOMPC	Uncharacterized protein	PP7435_Chr4-0339					
Q0K531	Q0K531	unreviewed	Q0K531_CUPNH	Acyl-CoA dehydrogenase, EC 1.3.99.3	H16_B0087	GO:0003995; GO:0043958			acryloyl-CoA reductase activity [GO:0043958]; acyl-CoA dehydrogenase activity [GO:0003995]	acryloyl-CoA reductase activity [GO:0043958]; acyl-CoA dehydrogenase activity [GO:0003995]
Q0K2P1	Q0K2P1	unreviewed	Q0K2P1_CUPNH	Malate/L-lactate dehydrogenase, EC 1.1.1.-	H16_B0942	GO:0016491			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
F2QNV0	F2QNV0	unreviewed	F2QNV0_KOMPC	Smg4_UPF3 domain-containing protein	PP7435_Chr1-0542	GO:0003676			nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]
Q0K8G7	Q0K8G7	unreviewed	Q0K8G7_CUPNH	ABC-type transporter, ATPase component: HAAT family, EC 3.6.3.22	livF1 H16_A2622	GO:0005524; GO:0005886; GO:0015658; GO:0016787	plasma membrane [GO:0005886]		ATP binding [GO:0005524]; branched-chain amino acid transmembrane transporter activity [GO:0015658]; hydrolase activity [GO:0016787]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; branched-chain amino acid transmembrane transporter activity [GO:0015658]; hydrolase activity [GO:0016787]
Q0K744	Q0K744	unreviewed	Q0K744_CUPNH	Glutathione peroxidase	H16_A3102	GO:0004602; GO:0006979		response to oxidative stress [GO:0006979]	glutathione peroxidase activity [GO:0004602]	glutathione peroxidase activity [GO:0004602]; response to oxidative stress [GO:0006979]
F2QMC3	F2QMC3	unreviewed	F2QMC3_KOMPC	Nuclear transport (Karyopherin beta)	KAP122 PP7435_Chr1-0414					
Q0K934	Q0K934	unreviewed	Q0K934_CUPNH	Two domain protein: Inactivated superfamily I helicase and RecB family exonuclease	addB H16_A2392	GO:0004386; GO:0004527			exonuclease activity [GO:0004527]; helicase activity [GO:0004386]	exonuclease activity [GO:0004527]; helicase activity [GO:0004386]
F2QQT0	F2QQT0	unreviewed	F2QQT0_KOMPC	Nucleoside diphosphate kinase, EC 2.7.4.6	YNK1 PP7435_Chr2-0061	GO:0004550; GO:0005524; GO:0006165; GO:0006183; GO:0006228; GO:0006241		CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; nucleoside diphosphate phosphorylation [GO:0006165]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]	ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; nucleoside diphosphate phosphorylation [GO:0006165]; UTP biosynthetic process [GO:0006228]
F2QQH9	F2QQH9	unreviewed	F2QQH9_KOMPC	Phosphatidylglycerol/phosphatidylinositol transfer protein	NPC2 PP7435_Chr1-1546	GO:0032366		intracellular sterol transport [GO:0032366]		intracellular sterol transport [GO:0032366]
F2QWC4	F2QWC4	unreviewed	F2QWC4_KOMPC	ATP synthase subunit 4	ATP4 PP7435_Chr3-0748	GO:0000276; GO:0015078; GO:0015986	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]	proton motive force-driven ATP synthesis [GO:0015986]	proton transmembrane transporter activity [GO:0015078]	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]
Q0K6R7	Q0K6R7	unreviewed	Q0K6R7_CUPNH	HTH OST-type domain-containing protein	H16_A3229	GO:0004540			ribonuclease activity [GO:0004540]	ribonuclease activity [GO:0004540]
Q0K7C5	Q0K7C5	unreviewed	Q0K7C5_CUPNH	ABC-type transporter, permease component: TauT family	H16_A3021	GO:0005886; GO:0016021; GO:0055085	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]
F2QPH0	F2QPH0	unreviewed	F2QPH0_KOMPC	GPI ethanolamine phosphate transferase 3	GPI13 PP7435_Chr1-1169	GO:0005789; GO:0006506; GO:0016021; GO:0051377	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GPI anchor biosynthetic process [GO:0006506]	mannose-ethanolamine phosphotransferase activity [GO:0051377]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mannose-ethanolamine phosphotransferase activity [GO:0051377]; GPI anchor biosynthetic process [GO:0006506]
F2QU05	F2QU05	unreviewed	F2QU05_KOMPC	G2/mitotic-specific cyclin	CLB2 PP7435_Chr2-1208	GO:0000079; GO:0016538		regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]
F2QN93	F2QN93	unreviewed	F2QN93_KOMPC	Uncharacterized protein	PP7435_Chr1-0913					
Q0KD43	Q0KD43	unreviewed	Q0KD43_CUPNH	Methylglyoxal synthase, MGS, EC 4.2.3.3	mgsA H16_A0932	GO:0008929; GO:0019242		methylglyoxal biosynthetic process [GO:0019242]	methylglyoxal synthase activity [GO:0008929]	methylglyoxal synthase activity [GO:0008929]; methylglyoxal biosynthetic process [GO:0019242]
Q0K8N5	Q0K8N5	unreviewed	Q0K8N5_CUPNH	DNA repair protein RecO (Recombination protein O)	cO recO H16_A2553	GO:0006281; GO:0006310		DNA recombination [GO:0006310]; DNA repair [GO:0006281]		DNA recombination [GO:0006310]; DNA repair [GO:0006281]
Q0KD94	Q0KD94	unreviewed	Q0KD94_CUPNH	Reverse transcriptase like protein	rvt H16_A0880	GO:0003964			RNA-directed DNA polymerase activity [GO:0003964]	RNA-directed DNA polymerase activity [GO:0003964]
Q0K7L1	Q0K7L1	unreviewed	Q0K7L1_CUPNH	Cytochrome b subunit of formate dehydrogenase, EC 1.2.1.2	fdhC H16_A2934	GO:0005886; GO:0008863; GO:0009055; GO:0009326; GO:0016021; GO:0022904	formate dehydrogenase complex [GO:0009326]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	respiratory electron transport chain [GO:0022904]	electron transfer activity [GO:0009055]; formate dehydrogenase (NAD+) activity [GO:0008863]	formate dehydrogenase complex [GO:0009326]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; formate dehydrogenase (NAD+) activity [GO:0008863]; respiratory electron transport chain [GO:0022904]
F2QMY6	F2QMY6	unreviewed	F2QMY6_KOMPC	Uncharacterized protein	PP7435_Chr1-0801					
F2QNS6	F2QNS6	unreviewed	F2QNS6_KOMPC	RRM domain-containing protein	PP7435_Chr1-0516	GO:0003723			RNA binding [GO:0003723]	RNA binding [GO:0003723]
Q0K4S1	Q0K4S1	unreviewed	Q0K4S1_CUPNH	Probable extra-cytoplasmic solute receptor	H16_B0202	GO:0042597	periplasmic space [GO:0042597]			periplasmic space [GO:0042597]
Q0KF58	Q0KF58	reviewed	METXS_CUPNH	Homoserine O-succinyltransferase, HST, EC 2.3.1.46 (Homoserine transsuccinylase, HTS)	metXS H16_A0211	GO:0005737; GO:0008899; GO:0009086	cytoplasm [GO:0005737]	methionine biosynthetic process [GO:0009086]	homoserine O-succinyltransferase activity [GO:0008899]	cytoplasm [GO:0005737]; homoserine O-succinyltransferase activity [GO:0008899]; methionine biosynthetic process [GO:0009086]
F2QYG9	F2QYG9	unreviewed	F2QYG9_KOMPC	Putative lipoate-protein ligase A	AIM22 PP7435_Chr4-0272	GO:0009249; GO:0016874		protein lipoylation [GO:0009249]	ligase activity [GO:0016874]	ligase activity [GO:0016874]; protein lipoylation [GO:0009249]
Q0K2Q4	Q0K2Q4	unreviewed	Q0K2Q4_CUPNH	Transcriptional regulator, GntR-family	H16_B0929	GO:0003677; GO:0003700; GO:0006744; GO:0016829		ubiquinone biosynthetic process [GO:0006744]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; lyase activity [GO:0016829]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; lyase activity [GO:0016829]; ubiquinone biosynthetic process [GO:0006744]
F2QY92	F2QY92	unreviewed	F2QY92_KOMPC	Pre-mRNA-processing factor 19, EC 2.3.2.27	PRP19 PP7435_Chr4-0195	GO:0000398; GO:0000974; GO:0005681; GO:0006281; GO:0061630; GO:0070534	Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]	DNA repair [GO:0006281]; mRNA splicing, via spliceosome [GO:0000398]; protein K63-linked ubiquitination [GO:0070534]	ubiquitin protein ligase activity [GO:0061630]	Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; ubiquitin protein ligase activity [GO:0061630]; DNA repair [GO:0006281]; mRNA splicing, via spliceosome [GO:0000398]; protein K63-linked ubiquitination [GO:0070534]
F2QZI1	F2QZI1	unreviewed	F2QZI1_KOMPC	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase, EC 5.3.1.16 (5-proFAR isomerase) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	HIS6 PP7435_Chr4-0651	GO:0000105; GO:0003949; GO:0005737	cytoplasm [GO:0005737]	histidine biosynthetic process [GO:0000105]	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]	cytoplasm [GO:0005737]; 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]; histidine biosynthetic process [GO:0000105]
K2C1_HUMAN	P04264	reviewed	K2C1_HUMAN	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1, CK-1) (Hair alpha protein) (Keratin-1, K1) (Type-II keratin Kb1)	KRT1 KRTA	GO:0001533; GO:0001867; GO:0001895; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0006979; GO:0016020; GO:0018149; GO:0030246; GO:0030280; GO:0031424; GO:0038023; GO:0042730; GO:0045095; GO:0045109; GO:0045765; GO:0046982; GO:0050728; GO:0051290; GO:0061436; GO:0062023; GO:0070062; GO:0072562; GO:1904813	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; keratin filament [GO:0045095]; membrane [GO:0016020]; nucleus [GO:0005634]	complement activation, lectin pathway [GO:0001867]; establishment of skin barrier [GO:0061436]; fibrinolysis [GO:0042730]; intermediate filament organization [GO:0045109]; keratinization [GO:0031424]; negative regulation of inflammatory response [GO:0050728]; peptide cross-linking [GO:0018149]; protein heterotetramerization [GO:0051290]; regulation of angiogenesis [GO:0045765]; response to oxidative stress [GO:0006979]; retina homeostasis [GO:0001895]	carbohydrate binding [GO:0030246]; protein heterodimerization activity [GO:0046982]; signaling receptor activity [GO:0038023]; structural constituent of skin epidermis [GO:0030280]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; keratin filament [GO:0045095]; membrane [GO:0016020]; nucleus [GO:0005634]; carbohydrate binding [GO:0030246]; protein heterodimerization activity [GO:0046982]; signaling receptor activity [GO:0038023]; structural constituent of skin epidermis [GO:0030280]; complement activation, lectin pathway [GO:0001867]; establishment of skin barrier [GO:0061436]; fibrinolysis [GO:0042730]; intermediate filament organization [GO:0045109]; keratinization [GO:0031424]; negative regulation of inflammatory response [GO:0050728]; peptide cross-linking [GO:0018149]; protein heterotetramerization [GO:0051290]; regulation of angiogenesis [GO:0045765]; response to oxidative stress [GO:0006979]; retina homeostasis [GO:0001895]
Q0KAE7	Q0KAE7	unreviewed	Q0KAE7_CUPNH	tRNA-specific adenosine deaminase, EC 3.5.4.33	tadA H16_A1923	GO:0002100; GO:0008270; GO:0052717		tRNA wobble adenosine to inosine editing [GO:0002100]	tRNA-specific adenosine-34 deaminase activity [GO:0052717]; zinc ion binding [GO:0008270]	tRNA-specific adenosine-34 deaminase activity [GO:0052717]; zinc ion binding [GO:0008270]; tRNA wobble adenosine to inosine editing [GO:0002100]
Q0KBX4	Q0KBX4	unreviewed	Q0KBX4_CUPNH	Uncharacterized protein	H16_A1359					
Q0KDI1	Q0KDI1	unreviewed	Q0KDI1_CUPNH	Histidinol-phosphate aminotransferase, EC 2.6.1.9 (Imidazole acetol-phosphate transaminase)	hisC hisC1 H16_A0793	GO:0000105; GO:0004400; GO:0030170		histidine biosynthetic process [GO:0000105]	histidinol-phosphate transaminase activity [GO:0004400]; pyridoxal phosphate binding [GO:0030170]	histidinol-phosphate transaminase activity [GO:0004400]; pyridoxal phosphate binding [GO:0030170]; histidine biosynthetic process [GO:0000105]
F2QNM6	F2QNM6	unreviewed	F2QNM6_KOMPC	Ribose-phosphate diphosphokinase, EC 2.7.6.1	PRS1 PP7435_Chr1-0298	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0006015; GO:0009156; GO:0009165; GO:0016301; GO:0016310; GO:0031505	ribose phosphate diphosphokinase complex [GO:0002189]	5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; fungal-type cell wall organization [GO:0031505]; nucleotide biosynthetic process [GO:0009165]; phosphorylation [GO:0016310]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]	ribose phosphate diphosphokinase complex [GO:0002189]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; fungal-type cell wall organization [GO:0031505]; nucleotide biosynthetic process [GO:0009165]; phosphorylation [GO:0016310]; ribonucleoside monophosphate biosynthetic process [GO:0009156]
F2R006	F2R006	unreviewed	F2R006_KOMPC	60S ribosomal protein L31-B	RPL31B PP7435_Chr4-0831	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
F2R019	F2R019	unreviewed	F2R019_KOMPC	Transcription factor	SFP1 PP7435_Chr4-0844					
Q0K7D7	Q0K7D7	unreviewed	Q0K7D7_CUPNH	Aminotransferase, EC 2.6.1.-	asdA H16_A3009	GO:0008483; GO:0009058; GO:0016829; GO:0030170; GO:1901605		alpha-amino acid metabolic process [GO:1901605]; biosynthetic process [GO:0009058]	lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; alpha-amino acid metabolic process [GO:1901605]; biosynthetic process [GO:0009058]
Q0K677	Q0K677	unreviewed	Q0K677_CUPNH	ABC-type transporter, permease component involved in toluene tolerance	ttg2B H16_A3426	GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]			ATP-binding cassette (ABC) transporter complex [GO:0043190]
Q0JZ52	Q0JZ52	unreviewed	Q0JZ52_CUPNH	Transcriptional regulator, XRE-family	H16_B2190	GO:0003677			DNA binding [GO:0003677]	DNA binding [GO:0003677]
F2QYT1	F2QYT1	unreviewed	F2QYT1_KOMPC	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	IDH1 PP7435_Chr4-0391	GO:0000287; GO:0004449; GO:0005739; GO:0006099; GO:0051287	mitochondrion [GO:0005739]	tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	mitochondrion [GO:0005739]; isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; tricarboxylic acid cycle [GO:0006099]
F2QQV0	F2QQV0	unreviewed	F2QQV0_KOMPC	Aminodeoxychorismate synthase, EC 2.6.1.85 (Para-aminobenzoate synthase) (p-aminobenzoic acid synthase)	ABZ1 PP7435_Chr2-0081	GO:0046654; GO:0046656; GO:0046820		folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	4-amino-4-deoxychorismate synthase activity [GO:0046820]	4-amino-4-deoxychorismate synthase activity [GO:0046820]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]
Q0KB07	Q0KB07	unreviewed	Q0KB07_CUPNH	YcaC related amidohydrolase, EC 1.14.-.-	ycaC H16_A1689	GO:0016491; GO:0016787			hydrolase activity [GO:0016787]; oxidoreductase activity [GO:0016491]	hydrolase activity [GO:0016787]; oxidoreductase activity [GO:0016491]
Q0JY73	Q0JY73	unreviewed	Q0JY73_CUPNH	Transcriptional regulator	H16_B2519	GO:0003700; GO:0043565			DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
F2QVT1	F2QVT1	unreviewed	F2QVT1_KOMPC	Thiamine transporter	THI7 PP7435_Chr3-0551	GO:0016021; GO:0022857	integral component of membrane [GO:0016021]		transmembrane transporter activity [GO:0022857]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]
A0A1G4KQZ2	A0A1G4KQZ2	unreviewed	A0A1G4KQZ2_KOMPC	Histone H2A	HTZ1 PP7435_Chr4-1873	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982	nucleosome [GO:0000786]; nucleus [GO:0005634]		DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
Q0KBR7	Q0KBR7	reviewed	KUP1_CUPNH	Probable potassium transport system protein kup 1	kup1 H16_A1419	GO:0005886; GO:0015079; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		potassium ion transmembrane transporter activity [GO:0015079]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; potassium ion transmembrane transporter activity [GO:0015079]
Q0K2K7	Q0K2K7	unreviewed	Q0K2K7_CUPNH	Activator of osmoprotectant transporter	H16_B0976	GO:0005737; GO:0010608; GO:0033592; GO:0034057	cytoplasm [GO:0005737]	post-transcriptional regulation of gene expression [GO:0010608]	RNA strand annealing activity [GO:0033592]; RNA strand-exchange activity [GO:0034057]	cytoplasm [GO:0005737]; RNA strand annealing activity [GO:0033592]; RNA strand-exchange activity [GO:0034057]; post-transcriptional regulation of gene expression [GO:0010608]
